Mando'a,Pronunciation,English
kyorar,KIE-ohr-ar,rot; decay (verb)
kyorla,kie-OHR-lah,rotten
kyr,KEER,end
Kyr ge'kaan,KEER geh-KAHN,Endex (end of exercise - mil.)
kyr'ad,KEER-ahd,corpse
kyr'adyc,keer-AH-deesh,passed away; deceased
kyr'am,kee-RAHM,death
kyramla,keer-AHM-la,fatal; deadly
kyramud,keer-AH-mood,killer; assassin
kyr'amur,kee-RAHM-oor,kill
kyrayc,keer-AYSH,killed; dead
kyrbej,KEER-bayj,battlefield
kyr'bes,KEER-bez,skull; especially mythosaur skull - coll. Crown
Kyr'tsad,KEERT-sahd,Death Watch (lit. Death Society) - breakaway Mandalorian sect 
kyr'vhetine,KEER-fet-EEN-ay,harvest
kyr'yc,KEER-eesh,last
laam,lahm,up
laamyc,LAH-meesh,high
laandur,LAHN-doo-er,delicate; fragile (sometimes an insult - weak; pathetic)
laar,lar,song
laaran,lah-RAHN,singing
laararir,lah-RAH-eer,sing
lalat,LAH-laht,tongue
la'mun,lah-MOON,azimuth
lararyc,lah-rah-eesh,drunk (lit. carousing)
layari,LAY-ah-ree,overconfident; swaggering
lenedat,leh-NAY-daht,target; contact
linibar,lee-NEE-bar,need; to
liser,LEE-say,able to; can
lo,loh,into
lonar,LOH`nar,insertion
loras,lor-AHS,meat; flesh; substance (poetic)
lor'vram,lohr-ve-RAHM,breakfast
lovik,LOH-veek,knee
luubid,loo-BEED,enough
maan,mahn,original; first
majyc,MAH-jeesh,extra
majyce,mah-jEE-shay,something extra; addendum
majycir,MAH-jeesh-eer,add
manda,MAHN-dah,the collective soul or heaven - the state of being Mandalorian in mind; body and spirit - also supreme; overarching; guardian-like
Mand'alor,MAHN-dah-lor,sole ruler
Manda'yaim,MAN-dah-YAI-eem,the planet Mandalore.
Mando,MAHN-do,Mandalorian; adj or noun
Mando'ad draar digu,Man-DOH-ad drahr dee-GOO,A Mandalorian never forgets.
Mando'ade,Mando-AH-day,Mandalorians (pl) - sons and/ or daughters of Mandalore
mandokar,MAN-doh-KAR,the *right stuff*; the epitome of Mando virtue - a blend of aggression; tenacity; loyalty and a lust for life
mandokarla,MAN-doh-KAR-lah,having the *right stuff*; showing guts and spirit; the state of being the epitome of Mando virtue
Mar'e!,MAH-ray!,At last! (Expression of relief.)
marekar,mah-RAY-kar,navigation
marev,MAH-rev,fist
mar'eyce,mah-RAY-shay,discovery; something found at last; a state of heaven
mar'eyir,mah-AY-eer,find; discover
mashukir,MAH-shook-eer,disperse
mav,mahv,free
mayen,MY-enn,anything
Me'bana?,may-BAHN-ah,What's happening? What happened? 
Me'copaani?,Meh ko-PAH-nee?,What do you want? What would you like?
me'dinuir,med-IN-oo-eer,share; give to each other
meg,mayg,which; what; that; who
megin,may-GIN,which; what; that - before a vowel
meh,mey,if
me'sen,mAY-sen,starship
meshgeroya,MESH-geh-ROY-ah,limmie or bolo-ball - literally the *beautiful game;* a Mandalorian obsession
mesh'la,MAYSH`lah,beautiful
meshurkaan,MEH-shoor-KAHN,jeweler; gem cutter
meshurok,meh-SHOO-rok,gemstone
me'suum,may-SOOM,planet
me'suum'ika,meh-soo-MEE-ka,moon
Me'vaar ti gar?,Meh-VAR tee-GAR,How are you? (Lit: what's new with you?) Can also be used to ask a soldier for a sitrep. If a Mando asks you this; they expect an answer- it's literal.. The response for *I'm fine thanks;* is *Naas.* (Literally - nothing. )
me'ven?,mey-VAYN,Huh? What? Expression of bewilderment or disbelief
mhi,mee,us
mhi,mee,we
Mhor,mor,ours - rare archaic
miit,meet,word
miit'gaanar,MEET-gah-nar,write
mircin,meer-SEEN,cage
mircir,meer-SEER,cage; lock up; capture
mirci't,meer-SEET,prisoner
mirdala,MEER-dah-lah,clever; intelligent; intellectual
mirdir,MEER-deer,think; calculate
mirgaanla,meer-GAHN-lah,deliberate (lit: *thinking hand*)
mirjahaal,MEER-jah-HAHL,peace of mind; *healing*; general term for emotional well-being especially after a trauma or bereavement
mirshe,MEER-shay,brain (plural - mirsh is a brain cell
mir'sheb,MEER-sheb,smartass
mirshepar'la,MEER-shay-PAR-lah,boring (lit: brain devouring)
mirshir,MEER-sheer,shock; stun (lit. *brain* someone; knock out their brain)
mirshko,MEERSH-koh,courage
mirsh'kyramud,MEERSH-keer`AH-mood,boring person (lit: brain assassin)
mirshmure'cya,meersh-moor-AY-shah,Keldabe kiss - slang for headbutt (lit. brain-kiss)
mishuk,MEE-shook,pressure
morut,moh-ROOT,haven; stronghold
morutar,MOH-roo-tahr,welcome; verb
morut'yc,moh-ROO-teesh,safe; secure
motir,moh-TEER,stand
munad,MOO-nahd,elevation
munad,moo-NAHD,height
muninar,moo-NEE-nar,tall
munit,MOON-eet,long
Munit tome'tayl; skotah iisa,MOON-eet to-MAY-tail; SKO-tah-EE-sah,long memory; short fuse - said to be the typical Mando mindset
murcyur,MOOR-shoor,kiss (verb)
mureyca,MOOR-aysh-ah,kiss 
muun,UM-ahn,hard
muun'bajir ,MOO-wun BAH-jeer ,trounce; teach someone a lesson; *kick butt* lit: educate hard
naak,nahk,peace
naakla,NAHK-lah,peaceful
naas,nahs,nothing
naasad,NAHS-ahd,none; not any
naasade,nah-SAH-day,nobody
naast,nahst,destroyer
naastar,NAH-star,destroy
nad'aai,NAHD-ai,infrared
nad'aaila.,nad-AY-lah,infrared (adj)
nadala,nad-AHL-ah,hot
nakar'mir,Nah-kah-MEER,be unaware; not know (verb)
nakar'tuur,NAH-kah-TOOR,tomorrow (lit: the unknown day)
nakil,NAH-keel,corner
Nar dralshy'a,NAR-drahl-SHEE-ya,Put your back into it! Try harder!
nari,NAH-ree,move; action; act
narir,nah-REER,act; do; put
naritir,nah-ree-TEER,insert; place; put
narser,NAR-sair,purpose
Nar'sheb,NAR-sheb,Contemptuous comment - like *shove it* but much stronger.
narudar,nah-ROO-dar,temporary ally - specifically your enemy's enemy; where both sides know this is an alliance of convenience and not a lasting pact. 
nasreyc,nar-SAIR-eesh,determined; resolute
naumiit,now-MEET,signal
nau'ul,now-OOL,candlelight
nau'ur,now-OOR,light up; illuminate
nau'ur kad,now-OOR kad,forge (lit. light up a saber)
nayc,naysh,no ( negative answer)
naysol,NAY-sol,too many
Ne shab'rud'ni÷,Neh shab-ROOD-nee,Don't mess with me (extremely strong warning - much stronger than jurkadir - and likely to be followed by violence)
neduumyc,nay-DOO-meesh,illegal; unauthorized
nehutyc,neh-HOOT-eesh,feisty; gutsy
Ne'johaa!,Neh-JOH-hah,Shut up!
ne'kaan,neh-KAHN,non-combatant
N'epar nu pirur!,Neh-PAHR noo PEER-oor,It won't eat or drink anything. (It can wait - no rush.)
N'eparavu takisit,Nay-PAH-rav-OO ta-KEE-sit,sorry (lit: I eat my insult)
ner,nair,my; mine
neral,NAY-rahl,grain
ne'tra,NAY-trah ,black
ne'tra gal ,NAY-trah gahl,black ale - sweet; almost spicy black beer similar to milk stout
Ne'tra gal mesh'la; jat'isyc; bal; wayii; jahaal'got,NAY-tra gahl MAYSH-lah; jah-TEE-seesh; bahl why-eee JAH-hal-got,Black ale looks good; tastes good; and - by golly - it does you good!
neverd,neh-VAIRD,civilian
ne'waadas,nay-WAHD-ahs,poverty; need
ni,nee,I; me
Ni ceta ,nee SET-ah,sorry (lit: I kneel) grovelling apology - rare 
Ni copaani buy'ce gal,Nee ko-PAH-nee gal,IÌd like a pint of ale
Ni copaani buyc'ika cin papuur'gal,Nee ko-PAH-nee boo-SHEE-ka seen pah-POOR-gal,IÌd like a glass of white wine; please
ni dinu,NEE DEE-noo,I give (and; used on its own in a firm tone; means: *Like it or lump it! Take it or leave it!*)
Ni hukaatii'ni shebs ti kama!,NEE-hoo-kah-TEE-ni shebs ti KA-mah,I'm covering my back!
Ni kyr'tayl gai sa'ad,Nee-keer-TAIL guy-sah-ADD,adoption vow - lit. I know your name as my child.
Ni su'cuyi; gar kyr'adyc; ni partayli; gar darasuum,Nee soo-COO-yee; gar keer-AH-deesh; nee par-TIE-lee; gar dah-rah-SOOM,Daily remembrance of those passed on *I'm still alive; but you are dead. I remember you; so you are eternal.* Followed by repetition of loved ones' names.
nibral,NEE-brahl,loser; failure
Ni'duraa!,NEE DOO-rah,You disgust me!
norac,noh-RAK,back
Nu draar,Noo DRAR,No way. Absolutely not. Never in a million years. Not on your life. (Emphatic disagreement and doubt. Lit: Not never. Mandos use double negatives for emphasis.)
Nu kyr'adyc; shi taab'echaaj'la. ,Noo keer-AH-deesh; shi TAHB-ee-CHARJ-lah,Not gone; merely marching far away. (Tribute to a dead comrade.)
nu; n'; ne,noo,negative prefixes
nu'amyc,noo-AHM-eesh,normal
nuhaatyc,noo-HAH-teesh,invisible; unseen
nuh'la; nuhunla,NOO-lah,funny; amusing
nuhoy,noo-HOY,sleep
nuhoyir,noo-HOY-eer,slumber; sleep
nuhun,noo-HOON,joke
nuhunar,noo-HOO-nar,laugh
nuhur,NOO-hoor,good times; laughter; fun
nushaad'la,noo-SHAHD-lah,motionless
nynir,nee-NEER,hit; strike
ogir,OH-gir,there
ogir'olar,oh-GEER-oh-LAH,one way or the other; either way
olan,OH-lahn,hundred
olar,OH-lar,here
olarom,OH-lah-rom,welcome (greeting)
olaror,oh-LAR-ohr,come; arrive
ol'averde,oh-lah-VAIR-day,company
onidir,oh-NEE-deer,to sweat
o'r,ohr,in
orar,or-AHR,thunder
or'dinii,Ohr-DEE-nee,moron; fool
orhaar,OR-haar,scan (noun)
orhaarir,or-HAR-eer,scan (verb)
ori,OH-ree,big; extreme; very
ori'beskaryc,OH-ree-bes-KAR-eesh,hard case; extremely tough; no-nonsense (of people) - *well 'ard*
oribru,oh-REE-bru,emergency
Ori'buyce; kih'kovid.Ü,OH-ree-BOO-shay; KEE-koh-VEED,All helmet; no head. Ü Common term of derision for someone with an overdeveloped sense of authority
ori'copaad,OH-ree-KOH-pahd,obsession; fixation
ori'dush,OHR-ee-DOOSH,evil
ori'gehaat'ik,or-EE-geh-HAH-teek,epic
ori'haat,OH-ree-haht,*It's the truth; I swear - no bull.*
ori'jagyc,OH-ree-JAHG-eesh (or OH-ree-YAHG-eesh),bullying- also bully; swaggering big-mouth - someone who picks on someone smaller - lit. *big man* said sarcastically; applied equally to women
ori'jate,OR-ee-JAH-tay,excellent
orikih,aw-REE-kee,tiny
orilin,oh-REE-leen,profit; surplus
or'ilor,ohr-EE-lohr,midday meal
ori'ramikad,OH-ree-RAHM-ee-kahd,Super-commando (Mandalorian designation of elite special forces)
ori'shya,ohr-EE-she-ya,more than
ori'skraan,OH-ree-scrahn,1. a delicacy; a real treat in terms of food- 2 a blow-out meal; a feast (slang); *big eats*
ori'sol,OHR-ee-SOL,many
ori'suumyc,OHR-ee-SOOM-eesh,beyond the pale; one step too far; outrageous (in Mandalorian morality)
ori'tsad,OHR-eet-sahd,brigade
oritsir,oh-REET-seer,curse; swear; bellow
ori'vod,OH-ree-VOD,big brother; older brother; special friend
ori'vor'e,AW-ree-VOHR-ay,Thanks a lot! Thanks a million!
oriya,oh-REE-yah,city
oriyala,oh-REE-ah-lah,urban
orjorer,or-JOR-er,cry out; shout
or'parguur,OR-par-GOOR,hate
or'trikar,OHR-tree-kar,grief
oshokita,oh-SHOK-ee-TAH,freshers (from plank of wood used in field latrines)
osik,OH-sik,dung (impolite)
osik'la,oh-SIK-lah,messed up; screwed; horrible (impolite)
Osi'kyr!,OH-see-KEER,Strong exclamation of surprise or dismay
osi'yaim,OH-see-yaim,Useless; despicable person
Oya manda!,OY-ah-MAN-dah,Expression of Mandalorian solidarity and perpetuity: emotional and assertive.
Oya!,OY-ah!,Many meanings: literally *Let's hunt!* and also *Stay alive!*; but also *Hoorah!*; *Go you!*; *Cheers!* Always positive and triumphant.
oyacyir,oy-YAH-sheer,live
oya'karir,OY-yah-KAR-eer,hunt; chase
oya'la,oy-AH-lah,living 
oyayc,oy-AYSH,alive
oyayc ra kyrayc,oy-AYSH rah keer-AYSH,dead or alive
oyu'baat,oy-YOO-baht,universe
oyula,oy-OO-lah,galactic
paak,pahk,salt
paguur,PAH-goor,dislike
paklalat,PAHK-lah-LAHT,gift of the gab; a silver tongue; wit; eloquence
pakod,PAH-kohd,easy; simple
palon,pah-LOHN,hole
papurgaat,pa-POOR-gaht,fruit
papuur'gal,pah-POOR-gahl,wine
par,pahr,for
Pare! (Pare sol!),PAH-ray (PAH-ray-SOHL,Hang on! (Pare sol - lit: *Wait one.*) Note: Ke'pare is much more emphatic - *Wait!*
parer,PAH-rair,wait
parjai,par-JAI,victory
parjii,PAR-jee,winner; victor
par'jila,par-JEE-lah,triumphant
parjir,par-JEER,win; be victorious
partaylir,par-TAT-leer,remember
paru,PAH-roo,formation
payt,PAH-eet,left
pehir,peh- HEER,spit
pel,pail,soft; yielding
pel'gam,pel-GAM,skin
pelkaanir,pel-KAHN-eer,shave
peti'baar,peh-TEE-bahr,center mass
petir,pet-EER,center
pirebu,peer-AY-boo,near
pir'ekulor,PEER-ek-OO-lor,weep
pirimmur,PEER-ee-moor,use
pirimmuy,peer-im-OO-ee,useful
pirimpir,peer-EEM-peer,urine
pirpaak,PEER-pahk,broth; soup (literally; salted water)
pirun,PEER-un,water
pirunir sur'haaise ,PEER-oo-NEER soor-HIE-say,make their eyes water (slang for kill; injure or defeat)
pirur,peer-OOR,drink
pirusti,peer-OO-stee,well
piryc,PEER-eesh,wet
pitat,pit-AHT,rain
projor,PROH-jor,next
prudii,proo-DEE,shadow
prudiise,proo-DEE-see,shadows
puut'la,POOT-lah,ballistic
ra,rah,or
racin,ray-SEEN,pale
ramaanar,rah-mahn-ARR,die; general term 
ramaanla,rah-MAHN-lah,mortal (in the sense of fallible or vulnerable)
ram'ika,rah-MEE-kah,raid
ramikad,RAH-mee-KAHD,commando
ramikadyc,RAH-mee-KAHD-eesh,commando state of mind - an attitude that he/ she can do anything; endure anything; and achieve the objective. A blend of complete confidence and extreme tenacity instilled in special forces during training. Can also be used informally to describe a determined; focused person.
ram'or,RAHM-ohr,attack; besiege
ramorla,rah-MOR-lah,besieged
ram'ser,RAM-sair,sniper; marksman
rang,rahng,ash
Rangir!,RAN-geer,To hell with it!
ranov'la,rah-NOHV-lah,secret
ratiin,RAH-teen,always
rayshe'a,ray-SHEE-ah,five
raysh'olan,RAYSH-oh-lahn,five hundred
ray'ture,ray-TOOR-ay,week
redalur,red-AH-loor,dance (verb)
rejorhaa'ir,ree-JOR-har-EER,tell
resol,reh-SOL,six
Resol'nare,RAY-sol NAH-ray,Six Actions; the tenets of Mando life
ret,rayt,Perhaps; maybe
Ret'!,rayt,Bye! See you!
ret'lini. ,Rayt-LEE-nee,just in case (colloquial - Mandos are cautious and always have a plan B)
Ret'urcye mhi,ray-TOOR-shay-MEE,Goodbye - lit. *Maybe we'll meet again*
ret'yc,RET-eesh,possible
riduur,REE-door,partner; spouse; husband; wife
riduurok,ree-DOO-rok,love bond; specifically between spouses - marriage agreement
riye,REE-yay,favor; benefit; good turn
rohak,RO-hahk,defeat
rohakar,ro-ha-KAR,defeat (verb)
rol'eta,ROHL-ay-tah,sixty
ru; r',roo,past tense prefix
rud,rood,around
rugam,ROO-gahm,sphere; ball
runi,roo-NEE,soul (poetic only)
rusur,roo-SOOR,land; ships or troops
ruug,roog,old age
ruug'la,ROOG-lah,old
ruus,roos,rock
ruusaan,roo-SAHN,reliable one (popular female name)
ruusaanyc,roo-SAHN-eesh,reliable; trustworthy
ruusaar,ROO-sahr,foundation 
ruus'alor,ROOS-ahl-or,sergeant
ruyot,ROO-yot,the past; history
sakagal,SAH-kah-gal,X-wing
sal,sahl,color
sapanyc,sah-PAHN-eesh,electromagnetic
sarad,SAH-rad,flower; bloom
saviin,sah-VEEN,violet
senaar,sen-ARR,bird
sen'tra,SEN-tra,Jet-pack
serim,SAIR-eem,accurate; correct
serimir,SAIR-ee-meer,be right; to be accurate
sha,sha,at (before vowel ñ shal)
sha ca'nara,SHAH kah-NAH-rah,specific time - literally at time; often used in questions
shaadlar,SHAHD`lar,move
shaap ,shahp,wood
shaap'yc,sha-PEESH,wooden
shabiir,sha-BEER,screw up - impolite
shabla,SHAH-bla,screwed up - impolite
shab'rudur,shah-BROO-dur,mess with - very strong language in Mando'a; so use only in extreme circumstances
shabuir,SHAH-boo-EER,extreme insult - *jerk*; but much stronger
sha'kajir,SHAH-ka-JEER,over a meal; at the dinner table; like the French *á table* - the word for table comes from the word for level; flat; so the implication is one of equals breaking bread together 
sha'kajir,SHAH-ka-JEER,cease-fire; truce (from the practice of sitting down at a table with refreshments to talk terms; as in the same term for *over a meal*)
shal,shahl,at (before vowel)
sharal,SHAH-ral,lazy
sheber,SHEH-bair,sit (verb)
sheb'ika,sheh-BEE-kah,botty; tush (diminutive of shebs) - kids' word but sometimes used ironically or in humour
shebs,shebs,backside; rear; buttocks (also rear of building etc)
sheb'urcyin,sheh-BOOR-shin,sycophant; toady; *butt-kisser*
she'cu,SHAY-koo,nine
she'eta,shayta,fifty
she'eta'olan,SHAYTA-oh-lahn,five thousand
sh'ehn,shayn,eight
shehn'eta,shayn-EH-tah,eighty
shekemir,SHEH-kay-meer,follow
shek'eta,SHAYK-ay-tah,ninety
shereshir,shair-AYSH-eer,kidnap; seize
shereshoy,sheh-REYSH-oy,lust for life and much more - uniquely Mandalorian word; meaning the enjoyment of each day and the determination to seek and grab every possible experience; as well as surviving to see the next day - hanging onto life and relishing it. An understandable state of mind/ emotion for a warrior people. Closely related to the words for live; hunt and stay safe - and; of course *oya*. All from the same root.
shev'la,SHAYV-lah,silent
shi,shee,just; only
shig,sheeg,beverage - any infusion of whatever is available; but usually a mildly stimulant herb with a citrus flavor called behot
shiib,sheeb,thin
shi'yayc,shee-YAYSH,yellow
sho'cye,SHOW-shay,ocean
shok ,shohk,beam; joist (wood or other material)
shokita,SHOK-ee-tah,shelf
shonar,SHOW-nar,wave (noun; as in sea) - literally 'ocean movement'
sho'sen,SHOW-sen,submarine; submersible
shosenla,show-SEN-la,submerged; sunk; under water
shukalar,SHOO-kah-lar,to crush (in any sense); to conquer
shuk,shook,rift; tear
shuk'la,SHOOK-lah,fragmented; broken; crushed
shuk'yc,shook-EESH,not working; no use; useless; broken down; out of order - usually said of machinery
shuk'la gett'se,SHOOK-lah GETT-say,crushed or ground nuts (topping or ingredient for uj)
shuk'la riduurok ,SHOOK-lah ree-DOOR-ok,divorce
shuk'orok,shoo-KOH-rok,crushgaunt 
shukur,SHOO-koor,break
shuner,shoon,bread
shuner,SHOO-nair,flour; meal
shupur,SHOO-poor,injury
shupur'yc,shoo-POOR-esh,injured
shupuur,shoo-POOR,injure
shushai,shoo-SHAI,sensor (lit. eye-listening)
shu'shuk,shoo-SHOOK,disaster; big screw-up etc
simir,see-MEER,year
sim'olan,seem-oh-LAHN,century
sirbur,SEER-boor,say
siver,SEE-vair,degree
skanah,SKAH-nah,much-hated thing or person
skira,SKEE-rah,settling scores; revenge. feud (different to vengeance - more personal)
skotah,SKOH-tah,short
skraan,scrahn,food; *scran* (generic slang for a meal)
skraan'ikase,SKRAH-nee-KAY-say,assorted small snacks like meze or tapas - *small eats* - a celebratory meal for Mandos because it can take hours to eat; and the dishes are often fiddly; a contrast to the easy-to-eat; quick meals necessary in the field
slaat,slaht,mud
Slana'pir!,SLAH-nah-PEER,Get out! get lost! (very impolite)
slanar,SLAH-nar,go
solegot,SOH-lay-goot,computer (lit. counting machine)
soletar,so-LAY-tahr,count
solus,SOH-loos,alone; vulnerable
solus,SOH-loos,each; one
solus,SOH-loos,individual
solus,SOH-loos,united; as one
sol'yc,sohl-EESH,first
sol'yc,sol-EESH,first (ordinal)
Sooran; shab! ,soo-RAHN shahb,Contemptuous and triumphant comment - like *suck on that; chum!*
sooranir,SOO-rah-neer,suck; absorb; draw up (liquid)
sosol ti,so-SOHL tee,equal with
spirba,SPEER-bah,pass (as in break in terrain)
staabi,STAH-bee,right
striil,streel,strill - highly intelligent six-legged hunting carnivore; capable of gliding and flight
striilir,STREE-leer,track; trail
su,SOO,still; yet
Su cuy'gar,Soo COO-ee-gar,Hello - lit. *You're still alive.*
Su'cuy,Soo-COO-ee,Hi!
sur'ar,soo-RAR,concentrate; focus
sur'gaan,soor-GAHN,picture
sur'haai,soor-HAI,eye
sur'ulur,SOOR-oo-LOOR,keep an eye on; monitor
sushir,SOO-sheer,listen
susulur,SOO-soo-LOOR,hear
suum,soom,beyond
Suum ca'nara ,Soom CAH-na-RAH,the state of blissful rest and peace
suumpir,SOOM-peer,lake
suvarir,soo-VAHR-eer,understand
taab,tahb,foot
taab'echaaj'la,TAHB-eh-CHAHJ-lah,deceased; passed on (lit: marched far away)
taabir,TAH-beer,march
taakur,TAHR-koor,bone
taap,tahp,location
taap,tahp,point; position
ta'ayl,tah-AYL,jailer
tabalhar,tah-BAHL-har,patrol (verb)
tabalut,tah-BAHL-oot,patrol (noun) - on patrol: bat'balut (adj)
t'ad,tahd,two
tad'eta,TAHD-ay-tah,seventy
takisir,TAH-kees-eer,insult (verb)
takisit,tah-KEE-sit,insult (noun)
tal,tahl,blood
tal'din,tal-DEEN,bloodline
tal'galar,tal-GAL-ahr,spill blood; bleed
tal'onidir,tahl-ON-ee-DEE-neer,to sweat blood; to *give blood* - idiom for going that extra mile or making an all-out effort
talyc,tahl-EESH,Bloody; bloodstained - of steak; rare.
ta'raysh,ta-RAYSH,ten
ta'raysh solus,TAH-raysh-SO-lus,eleven
ta'raysholan,TAH-raysh-oh-lahn,thousand
tatugir,tah-TOO-geer,repeat
tayat,TAI-aht,storage
tay'haai,TAY-hai,archivist; reporter
Tayli'bac?,TIE-lee-BAHK,Got it? Okay? Understand? (Often very aggressive.)
taylir,TIE-leer,hold; keep; preserve
te,teh,the (rarely used)
tebec,TEH-bek,ammunition
tegaanalir,teh-GAHN-ah-leer,rescue
teh,tay,from
te'habir÷be,the-HAH-beer beh,remove; take out (when used transitively; be precedes the object - No te'habi kad be dalab )
tengaanar,TEN-gah-nahr,show; display (lit. open hand)
tenn,ten,open
teroch,tay-ROCH,pitiless
tettar,TET-ar,kick
ti,tee,with
tigaanur,tee-GAH-noor,touch
tihaar,TEE-har,alcoholic drink - strong clear spirit made from fruit; like eau de vie
tiingilar,TEEN-gee-lahr,blisteringly spicy Mandalorian casserole
tiin'la,teen-LAH,coarse
tion,TEE-on,interrogative prefix; used for a question
Tion gar gai?,Tee-ON gar- GUY,What's your name?
Tion'ad ,tee-on-AD,who? (Lit: what person?)
Tion'ad hukaat'kama?,Tee-ON-ahd HOO-kaht-KA-ma,Who's watching your back?
tionas,tee-OH-nahs,Question; puzzle
Tion'cuy?,Tee-ON-coo-EE,Who's that? (often used as a challenge to identify someone - like *Halt! Who goes there?*
tionir,tee-OHN-eer,question; interrogate
tion'jor,Tee-ON-jor,why?
tion'meh,tee-ON-may,what if?
Tion'solet?,Tee-ON-soh-LAYT,How many? How much?
tion'tuur,tee-ON-toor,when? (lit. which day)
to,toh,join; connection
tok'kad,toh-KAHD,retreat
to'kursh,toh-KOORSH,orchard
tolase,toh-LAH-say,system (lit. joined things)
tom,tohm,alliance
tomad,toh_MAHD,ally
tome,TOH-may,together (plural)
tome'tayl,TOH-meh-TAYL,memory
tom'urcir,tohm-OOR-seer,converge
tomyc,TOH-meesh,joint
tom'yc,TPH-meesh,allied
tor,tohr,justice
tra,trah,space; void
tra ,trah,star field
traat'aliit,TRAHT-ah-LEET,squad; team
Traat'aliit gar besbe'trayc,Traht-ah-LEET bes-beh-TRAYSH,The squad is your weapon
traatika,tra-TEE-kah,platoon
tracinya,trah-SHEE-nah,flame
tracyaat,tra-SHEE-at,artillery
Tra'cyar mav,tra-SHEE-ar-mahv,fire at will
tracyn,trah-SHEEN,fire
tracy'uur,trah-SHOOR,blaster
tranyc,TRAH-neesh,sunny (lit. star-burned)
trat'aab,traht-AHB,infantry
trat'ade,traht-AH-day,forces
trattok'or,TRAT-oh-kor,fail; fall; collapse
tratur,TRAH-toor,man; staff; form the strength of; represent
tratyc,TRAH-teesh,in a state of collapse
trikar,TREE-kar,sadness
trikar'la,tree-KAHR,sad
troan,trawn,face
troch,troch,certainly (archaic; like verily)
tsad,sahd,alliance; group
tsad droten,ZAD DROH-ten,group of people; Republic
Tsad Droten,tsahd-DROH-ten,senate; assembly
tsikador,zee-KAH-dor,prepare; get ready
tsikala,zee-KAH-lah,prepared; ready
tug'yc,too-GEESH,again
tuur,toor,day
udes,OO-des,rest; leisure
Udesii!,oo-DAY-see,Calm down! Take it easy!
udesiir,oo-DAY-seer,relax; take it easy; calm down; find respite
udesla,oo-DESS-lah,calm (of sea etc) unflappable (of a person); serene; relaxed
uj'alayi,oo-jah-LIE-ee,uj cake - dense; very sweet flat cake made of ground nuts; syrup; pureed dried fruit and spice
uj'ayl,oo-JAY-ul,thick scented syrup used in cooking
ukor b'ukor,OO-kor BOO-kor,forced to make a decision - lit. *when push comes to shove*
ukoror,oo-KOR-or,push; shove
ulik,OO-leek,mount; pack animal; 
ulur,OOL-oor,care; take notice of
ulur,OO-loor,detect
ulyc,OO-leesh,careful; carefully
umaan,UM-ahn,difficult
urakto,oo-RAHK-to,hard; difficult
uram,OO-rahm,mouth
urcir,oor-SEER,meet
ures,oo-REES,without; lacking
urmankalar,oor-MAHN-kah-lar,believe (distinct from knowing)
Usen'ye!,oo-SEN-yeh,Go away! (Very rude - from same root as osik)
utreekov,oo-TREE-kov,fool; idiot (lit. empty-head)
ut'reeyah,oot-REE-yah,empty
utrel'a,oo-TREy-lah,clear (as in *All clear*)
utreyar,oo-TREE-yar,clear (verb)
utyc,OO-teesh,slimy
uur,oor,silence
uvete,oo-VAY-tay,worlds (poetic)
vaabir,VAH-beer,do
vaal,vahl,during; while
vaar,vahr,early; undeveloped; half-grown
vaar'ika,var-EE-kah,pip-squeak; runt
vaar'tur,vahr-TOOR,morning
vaii,vay,where
vaii'la,vai-EE-lah,directional
val,vahl,they; theirs
veeray,VEER-ay,area
veman,veh-MAHN,real; genuine
ven,vehn,future tense prefix
vencuyanir,ven-COO-yah-neer,sustain; keep alive; preserve
vencuyot,vain-COO-ee-ot,future
ver'alor,VAIR-ah-LOR,lieutenant
verborir,VAIR-bor-EER,hire; buy; contract
verburyc,vair-BOOR-eesh,loyal
vercopa,vair-KOH-pa,wish; dream
Vercopa÷,vair-KOH-pa,May this happen; I wish prefixes statement
vercopaanir,VAIR-koh-PAH-neer,wish; to hope
verd,vaird,soldier; warrior
verda,VAIR-dah,warriors (archaic plural)
verde,VAIR-day,soldiers
verd'ika,vair-DEE-kah,private (rank) Can be used affectionately; often to a child- *little soldier* - context is critical.
verd'yc,VAIR-deesh,aggressive (not necessarily negative!)
ver'gebuir,vair-geh-boo-EER,bodyguard lit: hired guardian (almost-father)
veriduur,VER-ee-DOOR,courtesan
ver'mircit,VAIR-meer-seet,hostage
ver'verd,vair-VAIRD,mercenary
veshok,VESH-ok,large evergreen tree with a grain similar to Earth oak
ve'vut,vay-VOOT,gold
vheh,feh,earth; dust; soil
vheh'yaim,veh-YAYM,temporary hut made of wattle and daub; a *basha*
vhekad,FAY-kahd,sand (literally 'sharp soil')
vhekadla,fay-KAHD-lah,sandy
vhekaj,VEH-kahj,map
vhetin,vet-EEN,plain; fields - open; flat or gently rolling land
vhett,fet,farmer
vhey,vay,mine (ordnance)
vhipir,fee-PEER,mist
vi,vee,we (rare - archaic)
videk,vee-DEK,neck
viinir,VEEN-eer,run
vod,vohd,brother
vod,vohd,comrade; *mate*
vod,vohd,sister
Vor entye,vor-ENT-yay,Thank you (lit. *I accept a debt*)
Vor'e!,VOHR-ay,Thanks!
vorer,VAW-rehr,accept
vorpan,VOR-pahn,green
vorpan'oy,vor-PAHN`oy,vegetation
vurel,VOO-rayl,ever
vu'traat,VOO-traht,special forces
